authority_id,authority_name_he,authority_name_en,district,population,socioeconomic_cluster,year,total_waste_tons,kg_per_capita_day,pct_recycled,pct_landfilled,pct_other_recovery,reported,source_url,source_name
1059,כסיפה,Kuseife,,18867.0,,2023,4730.302,0.5879695804209929,1.7863552897891086,98.21364471021089,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1296,כסרא-סמיע,Kisra-Sumei,,8930.0,,2023,7335.639992294663,2.1797878323759137,0.9357055739753114,99.06429442602469,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
978,כעביה-טבאש-חג'אג'רה,Ka'abiyye-Tabbash-Hajajre,,6170.0,,2023,2464.0,1.0976723465864795,25.243506493506494,74.7564935064935,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
633,כפר ברא,Kafar Bara,,3710.0,,2023,2097.73112,1.4661246295778587,6.646758427266885,93.35324157273311,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1263,כפר ורדים,Kefar Weradim,,5656.0,,2023,4027.2380837992464,1.9562994675018197,47.4056423800549,52.5943576199451,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
507,כפר יאסיף,Kafar Yasif,,10574.0,,2023,8378.848999999998,2.1823130226192133,20.09047660364807,79.90952339635193,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
168,כפר יונה,Kefar Yona,,28135.0,,2023,15258.98539348428,1.4171815801960579,16.82685530704204,83.17314469295796,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
508,כפר כמא,Kafar Kama,,3412.0,,2023,2083.622571966668,1.6415686532536309,9.288753854494335,90.71124614550567,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
509,כפר כנא,Kafar Kanna,,24262.0,,2023,13345.7,1.4910817708474446,5.837086102639801,94.1629138973602,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
510,כפר מנדא,Kafar Manda,,21041.0,,2023,12939.768688426611,1.6406998062794167,20.149268129951686,79.8507318700483,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
6900,כפר סבא,Kefar Sava,,100262.0,,2023,62437.18923327914,1.6972926632561838,15.217916357155211,84.7820836428448,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
